window,target,model,feature,importance,rank
test_2026_q2,solar,random_forest,is_overnight,3.6446171197923025e-08,27
test_2026_q2,hydro,lightgbm,hour,1742.0,1
test_2026_q2,hydro,lightgbm,hydro_lag_1h,1587.0,2
test_2026_q2,hydro,lightgbm,day_of_year_cos,1124.0,3
test_2026_q2,hydro,lightgbm,hour_sin,1118.0,4
test_2026_q2,hydro,lightgbm,hydro_lag_1h_to_24h,1062.0,5
test_2026_q2,hydro,lightgbm,day_of_year_sin,966.0,6
test_2026_q2,hydro,lightgbm,hydro_rolling_min_24h,879.0,7
test_2026_q2,hydro,lightgbm,day_of_year,839.0,8
test_2026_q2,hydro,lightgbm,hour_cos,834.0,9
test_2026_q2,hydro,lightgbm,hydro_lag_336h,830.0,10
test_2026_q2,hydro,lightgbm,hydro_rolling_mean_168h,800.0,11
test_2026_q2,hydro,lightgbm,hydro_rolling_std_24h,736.0,12
test_2026_q2,hydro,lightgbm,hydro_lag_72h,651.0,13
test_2026_q2,hydro,lightgbm,hydro_lag_24h,617.0,14
test_2026_q2,hydro,lightgbm,hydro_lag_24h_to_168h,609.0,15
test_2026_q2,hydro,lightgbm,day_of_week,601.0,16
test_2026_q2,hydro,lightgbm,hydro_rolling_range_24h,592.0,17
test_2026_q2,hydro,lightgbm,hydro_lag_168h,568.0,18
test_2026_q2,hydro,lightgbm,hydro_lag_48h,503.0,19
test_2026_q2,hydro,lightgbm,hydro_rolling_max_24h,494.0,20
test_2026_q2,hydro,lightgbm,hydro_rolling_mean_24h,453.0,21
test_2026_q2,hydro,lightgbm,is_morning_ramp,145.0,22
test_2026_q2,hydro,lightgbm,month,97.0,23
test_2026_q2,hydro,lightgbm,is_peak_hour,67.0,24
test_2026_q2,hydro,lightgbm,is_evening_peak,46.0,25
test_2026_q2,hydro,lightgbm,is_weekend,34.0,26
test_2026_q2,hydro,lightgbm,is_overnight,6.0,27
test_2026_q2,bioenergy,ridge,bioenergy_lag_1h,15.031664085837345,1
test_2026_q2,bioenergy,ridge,bioenergy_rolling_mean_24h,10.691798366221285,2
test_2026_q2,bioenergy,ridge,bioenergy_lag_24h,9.637375269941968,3
test_2026_q2,bioenergy,ridge,bioenergy_lag_1h_to_24h,9.340972417750937,4
test_2026_q2,bioenergy,ridge,bioenergy_lag_168h,5.6438882483967685,5
test_2026_q2,bioenergy,ridge,bioenergy_lag_24h_to_168h,4.494445161021628,6
test_2026_q2,bioenergy,ridge,day_of_year,3.981029704433863,7
test_2026_q2,bioenergy,ridge,month,3.977414763567675,8
test_2026_q2,bioenergy,ridge,bioenergy_rolling_range_24h,3.764658716779979,9
test_2026_q2,bioenergy,ridge,bioenergy_rolling_std_24h,3.289713377744628,10
test_2026_q2,bioenergy,ridge,bioenergy_rolling_min_24h,2.21218737585113,11
test_2026_q2,bioenergy,ridge,hour_sin,1.9061046240578428,12
test_2026_q2,bioenergy,ridge,hour_cos,1.8621011573844968,13
test_2026_q2,bioenergy,ridge,hour,1.8537015449372296,14
test_2026_q2,bioenergy,ridge,is_overnight,1.5936912537362105,15
test_2026_q2,bioenergy,ridge,day_of_week,1.1428987701802298,16
