window,target,model,feature,importance,rank
test_2026_q2,price,lightgbm,total_production_lag_48h,121.0,56
test_2026_q2,price,lightgbm,consumption_rolling_mean_168h,120.0,57
test_2026_q2,price,lightgbm,consumption_lag_48h,119.0,58
test_2026_q2,price,lightgbm,wind_lag_24h_to_168h,118.0,59
test_2026_q2,price,lightgbm,consumption_lag_168h,111.0,60
test_2026_q2,price,lightgbm,consumption_rolling_mean_24h,101.0,61
test_2026_q2,price,lightgbm,consumption_rolling_min_24h,100.0,62
test_2026_q2,price,lightgbm,total_production_lag_24h,98.0,63
test_2026_q2,price,lightgbm,total_production_rolling_max_24h,87.0,64
test_2026_q2,price,lightgbm,variable_renewable_lag_24h_to_168h,82.0,65
test_2026_q2,price,lightgbm,total_production_rolling_min_24h,79.0,66
test_2026_q2,price,lightgbm,forecast_supply_demand_gap_mwh,58.0,67
test_2026_q2,price,lightgbm,consumption_rolling_max_24h,54.0,68
test_2026_q2,price,lightgbm,month,42.0,69
test_2026_q2,price,lightgbm,is_peak_hour,23.0,70
test_2026_q2,price,lightgbm,is_weekend,19.0,71
test_2026_q2,price,lightgbm,is_evening_peak,9.0,72
test_2026_q2,price,lightgbm,is_overnight,2.0,73
test_2026_q2,price,xgboost,price_lag_1h,0.5730116367340088,1
test_2026_q2,price,xgboost,price_lag_24h,0.1760038137435913,2
test_2026_q2,price,xgboost,price_rolling_mean_24h,0.034517135471105576,3
test_2026_q2,price,xgboost,price_lag_1h_to_24h,0.02187175862491131,4
test_2026_q2,price,xgboost,price_vs_rolling_mean_24h,0.01671374961733818,5
test_2026_q2,price,xgboost,price_rolling_max_24h,0.011668754741549492,6
test_2026_q2,price,xgboost,is_morning_ramp,0.010813702829182148,7
test_2026_q2,price,xgboost,hour_sin,0.01061328500509262,8
test_2026_q2,price,xgboost,solar_lag_24h,0.01043348666280508,9
test_2026_q2,price,xgboost,hour,0.009972450323402882,10
test_2026_q2,price,xgboost,hour_cos,0.009692404419183731,11
test_2026_q2,price,xgboost,is_weekend,0.007970239035785198,12
test_2026_q2,price,xgboost,solar_lag_168h,0.007330749183893204,13
test_2026_q2,price,xgboost,is_overnight,0.005473858676850796,14
test_2026_q2,price,xgboost,day_of_week,0.005442360881716013,15
test_2026_q2,price,xgboost,price_lag_168h,0.004665131215006113,16
test_2026_q2,price,xgboost,price_rolling_min_24h,0.003047720994800329,17
test_2026_q2,price,xgboost,price_lag_336h,0.002583778230473399,18
