timestamp_utc,window,model,actual_price_eur_mwh,predicted_price_eur_mwh,error,absolute_error,squared_error,symmetric_absolute_percentage_error,smape_pct,hour,day_of_week,is_peak_hour,is_evening_peak
2026-03-28 17:00:00+00:00,wf_2026_03,hist_gradient_boosting,116.77,63.52832524688626,-53.241674753113735,53.241674753113735,2834.6759305163487,0.5905953333754909,59.059533337549084,17,5,True,True
2026-03-29 04:00:00+00:00,wf_2026_03,hist_gradient_boosting,107.4775,55.785383686961374,-51.69211631303863,51.69211631303863,2672.074888920715,0.6332378204485544,63.323782044855434,4,6,False,False
2026-03-14 17:00:00+00:00,wf_2026_03,hist_gradient_boosting,161.1,109.51908823513014,-51.58091176486985,51.58091176486985,2660.590458495289,0.38120675153596895,38.12067515359689,17,5,True,True
2026-06-24 19:00:00+00:00,test_2026_q2,hist_gradient_boosting,271.34,220.47675550631945,-50.863244493680526,50.863244493680526,2587.0696404239225,0.20683819298233316,20.683819298233317,19,2,True,True
2026-04-26 12:00:00+00:00,test_2026_q2,lightgbm,-412.25,-88.07340284856417,324.17659715143583,324.17659715143583,105090.46614068431,1.2958682136624189,129.58682136624188,12,6,True,False
2026-04-26 11:00:00+00:00,test_2026_q2,lightgbm,-412.55,-89.45860076273735,323.09139923726264,323.09139923726264,104388.05226109223,1.2871946765309075,128.71946765309076,11,6,True,False
2026-04-26 10:00:00+00:00,test_2026_q2,lightgbm,-259.3425,-71.70569958806428,187.6368004119357,187.6368004119357,35207.56886882859,1.1335920306796368,113.35920306796368,10,6,True,False
2026-04-26 13:00:00+00:00,test_2026_q2,lightgbm,-234.5725,-66.84752920635972,167.72497079364027,167.72497079364027,28131.66582772748,1.1128986433666064,111.28986433666064,13,6,True,False
2026-04-25 12:00:00+00:00,test_2026_q2,lightgbm,-188.9825,-83.61860605136863,105.36389394863136,105.36389394863136,11101.550148018436,0.7730261661431169,77.30261661431169,12,5,True,False
2026-03-04 06:00:00+00:00,wf_2026_03,lightgbm,199.1725,98.5652275072183,-100.60727249278172,100.60727249278172,10121.823278436832,0.6758113816149994,67.58113816149994,6,2,False,False
2026-04-26 09:00:00+00:00,test_2026_q2,lightgbm,-126.825,-30.13975043705993,96.68524956294007,96.68524956294007,9348.037483048003,1.2319358237276226,123.19358237276225,9,6,True,False
2026-06-24 17:00:00+00:00,test_2026_q2,lightgbm,313.355,220.37168385878337,-92.98331614121665,92.98331614121665,8645.89708061744,0.3484304568359139,34.84304568359139,17,2,True,True
2026-04-25 11:00:00+00:00,test_2026_q2,lightgbm,-174.855,-82.5248979371541,92.3301020628459,92.3301020628459,8524.84774693554,0.7174616417432155,71.74616417432155,11,5,True,False
2026-06-24 18:00:00+00:00,test_2026_q2,lightgbm,311.29,230.81532899205837,-80.47467100794165,80.47467100794165,6476.172673836445,0.29689680843967714,29.689680843967714,18,2,True,True
2026-04-25 13:00:00+00:00,test_2026_q2,lightgbm,-132.905,-58.08199168256155,74.82300831743845,74.82300831743845,5598.482573671464,0.7835403621813298,78.35403621813299,13,5,True,False
2026-03-16 17:00:00+00:00,wf_2026_03,lightgbm,165.99,96.25011583386456,-69.73988416613545,69.73988416613545,4863.651443505991,0.5318780762766087,53.18780762766087,17,0,True,True
2026-03-10 23:00:00+00:00,wf_2026_03,lightgbm,14.935,84.05414465672757,69.11914465672757,69.11914465672757,4777.456158077632,1.3964994827749537,139.64994827749538,23,1,False,False
2026-06-30 17:00:00+00:00,test_2026_q2,lightgbm,200.7,135.03267933765125,-65.66732066234874,65.66732066234874,4312.197002971734,0.39118813689450926,39.118813689450924,17,1,True,True
2026-03-04 18:00:00+00:00,wf_2026_03,lightgbm,176.985,112.97498106940697,-64.01001893059305,64.01001893059305,4097.2825234948805,0.4415093330777335,44.15093330777335,18,2,True,True
2026-03-04 08:00:00+00:00,wf_2026_03,lightgbm,81.705,144.27262714049007,62.567627140490075,62.567627140490075,3914.70796599139,0.553750633920869,55.3750633920869,8,2,True,False
2026-03-26 17:00:00+00:00,wf_2026_03,lightgbm,130.46,69.35312838660562,-61.10687161339439,61.10687161339439,3734.049758375865,0.6116402070955279,61.164020709552794,17,3,True,True
2026-04-14 09:00:00+00:00,test_2026_q2,lightgbm,13.0075,70.7425014578018,57.73500145780179,57.73500145780179,3333.330393332375,1.3787462794706242,137.87462794706244,9,1,True,False
2026-03-30 17:00:00+00:00,wf_2026_03,lightgbm,121.9275,66.47366208192703,-55.45383791807296,55.45383791807296,3075.128139843907,0.5886783001259688,58.867830012596876,17,0,True,True
2026-04-20 06:00:00+00:00,test_2026_q2,lightgbm,33.45,87.3652951400446,53.91529514004459,53.91529514004459,2906.859050038116,0.8925243294327591,89.2524329432759,6,0,False,False
