window,target,model,feature,importance,rank
test_2026_q2,production,ridge,total_production_rolling_mean_24h,105.84573984067174,17
test_2026_q2,production,ridge,total_production_lag_48h,94.13366648783622,18
test_2026_q2,production,ridge,hour_sin,91.57145911825708,19
test_2026_q2,production,ridge,total_production_rolling_range_24h,85.41644382165664,20
test_2026_q2,production,ridge,day_of_year,68.6883202559863,21
test_2026_q2,production,ridge,month,66.9242095092415,22
test_2026_q2,production,ridge,total_production_rolling_max_24h,58.34656141305745,23
test_2026_q2,production,ridge,day_of_year_sin,44.943350463559995,24
test_2026_q2,production,ridge,day_of_year_cos,18.69543561568383,25
test_2026_q2,production,ridge,total_production_rolling_std_24h,5.763795892756417,26
test_2026_q2,production,ridge,is_weekend,0.8149432256502644,27
test_2026_q2,production,random_forest,total_production_lag_1h,0.9788861712578605,1
test_2026_q2,production,random_forest,hour_sin,0.006988105999408362,2
test_2026_q2,production,random_forest,hour_cos,0.0039457302310179085,3
test_2026_q2,production,random_forest,hour,0.0013128972270418616,4
test_2026_q2,production,random_forest,is_morning_ramp,0.0009355253828731084,5
test_2026_q2,production,random_forest,day_of_year_sin,0.0006765352624156812,6
test_2026_q2,production,random_forest,total_production_rolling_std_24h,0.000626205753452722,7
test_2026_q2,production,random_forest,total_production_rolling_min_24h,0.0006167359080941007,8
test_2026_q2,production,random_forest,total_production_lag_336h,0.0005855442974182665,9
test_2026_q2,production,random_forest,total_production_lag_48h,0.0005852786497191722,10
test_2026_q2,production,random_forest,total_production_lag_72h,0.0005247843061506902,11
test_2026_q2,production,random_forest,total_production_rolling_mean_168h,0.0005146088223293852,12
test_2026_q2,production,random_forest,total_production_lag_168h,0.0004951482727072138,13
test_2026_q2,production,random_forest,day_of_year_cos,0.0004171808558459641,14
test_2026_q2,production,random_forest,total_production_lag_24h,0.00041169056606216615,15
test_2026_q2,production,random_forest,total_production_rolling_mean_24h,0.0003490021178685699,16
test_2026_q2,production,random_forest,day_of_week,0.0003364239243407792,17
test_2026_q2,production,random_forest,total_production_lag_24h_to_168h,0.0003002988484162589,18
test_2026_q2,production,random_forest,total_production_rolling_max_24h,0.00030021346184024657,19
test_2026_q2,production,random_forest,total_production_lag_1h_to_24h,0.0002786530480929742,20
test_2026_q2,production,random_forest,day_of_year,0.0002776512775401543,21
test_2026_q2,production,random_forest,total_production_rolling_range_24h,0.00026908809185270026,22
test_2026_q2,production,random_forest,is_weekend,0.00018551030476939945,23
test_2026_q2,production,random_forest,is_overnight,5.12554663905926e-05,24
test_2026_q2,production,random_forest,is_evening_peak,4.872762306481206e-05,25
test_2026_q2,production,random_forest,is_peak_hour,4.813992027112974e-05,26
test_2026_q2,production,random_forest,month,3.289312315538669e-05,27
test_2026_q2,production,lightgbm,total_production_lag_1h,2060.0,1
test_2026_q2,production,lightgbm,hour,1771.0,2
test_2026_q2,production,lightgbm,hour_sin,1537.0,3
test_2026_q2,production,lightgbm,day_of_year_sin,1332.0,4
test_2026_q2,production,lightgbm,hour_cos,1075.0,5
test_2026_q2,production,lightgbm,total_production_lag_1h_to_24h,990.0,6
test_2026_q2,production,lightgbm,total_production_rolling_std_24h,869.0,7
test_2026_q2,production,lightgbm,day_of_year,744.0,8
test_2026_q2,production,lightgbm,day_of_week,719.0,9
test_2026_q2,production,lightgbm,total_production_rolling_mean_168h,696.0,10
test_2026_q2,production,lightgbm,total_production_lag_168h,669.0,11
test_2026_q2,production,lightgbm,total_production_lag_24h_to_168h,667.0,12
test_2026_q2,production,lightgbm,day_of_year_cos,637.0,13
test_2026_q2,production,lightgbm,total_production_lag_72h,573.0,14
test_2026_q2,production,lightgbm,total_production_lag_336h,553.0,15
test_2026_q2,production,lightgbm,total_production_rolling_range_24h,538.0,16
test_2026_q2,production,lightgbm,total_production_lag_48h,486.0,17
test_2026_q2,production,lightgbm,total_production_lag_24h,470.0,18
test_2026_q2,production,lightgbm,total_production_rolling_mean_24h,439.0,19
test_2026_q2,production,lightgbm,total_production_rolling_min_24h,422.0,20
test_2026_q2,production,lightgbm,total_production_rolling_max_24h,409.0,21
test_2026_q2,production,lightgbm,is_morning_ramp,159.0,22
test_2026_q2,production,lightgbm,month,74.0,23
test_2026_q2,production,lightgbm,is_peak_hour,50.0,24
test_2026_q2,production,lightgbm,is_weekend,37.0,25
test_2026_q2,production,lightgbm,is_evening_peak,22.0,26
test_2026_q2,production,lightgbm,is_overnight,2.0,27
test_2026_q2,production,xgboost,total_production_lag_1h,0.7542911767959595,1
test_2026_q2,production,xgboost,total_production_rolling_mean_24h,0.11764661222696304,2
test_2026_q2,production,xgboost,total_production_lag_24h,0.03749276325106621,3
test_2026_q2,production,xgboost,total_production_lag_168h,0.014185655862092972,4
test_2026_q2,production,xgboost,is_overnight,0.011588668450713158,5
test_2026_q2,production,xgboost,is_morning_ramp,0.008944661356508732,6
test_2026_q2,production,xgboost,total_production_lag_1h_to_24h,0.006933092605322599,7
test_2026_q2,production,xgboost,hour_sin,0.006882714107632637,8
test_2026_q2,production,xgboost,is_peak_hour,0.006657728925347328,9
test_2026_q2,production,xgboost,hour_cos,0.005542931612581015,10
test_2026_q2,production,xgboost,is_weekend,0.003639512462541461,11
test_2026_q2,production,xgboost,day_of_week,0.002659020945429802,12
test_2026_q2,production,xgboost,total_production_rolling_min_24h,0.0024878187105059624,13
test_2026_q2,production,xgboost,hour,0.0024363852571696043,14
test_2026_q2,production,xgboost,month,0.0024195576552301645,15
test_2026_q2,production,xgboost,total_production_rolling_max_24h,0.0021868275944143534,16
test_2026_q2,production,xgboost,total_production_lag_336h,0.0019592957105487585,17
test_2026_q2,production,xgboost,day_of_year_sin,0.0019042374333366752,18
test_2026_q2,production,xgboost,total_production_rolling_std_24h,0.0017642428865656257,19
test_2026_q2,production,xgboost,total_production_lag_72h,0.001672782120294869,20
test_2026_q2,production,xgboost,total_production_lag_48h,0.001339633483439684,21
test_2026_q2,production,xgboost,is_evening_peak,0.001140583073720336,22
test_2026_q2,production,xgboost,day_of_year_cos,0.0010146609274670482,23
test_2026_q2,production,xgboost,total_production_rolling_mean_168h,0.0009551304392516613,24
test_2026_q2,production,xgboost,day_of_year,0.0009158740867860615,25
test_2026_q2,production,xgboost,total_production_rolling_range_24h,0.000719607574865222,26
test_2026_q2,production,xgboost,total_production_lag_24h_to_168h,0.0006188252009451389,27
