timestamp_utc,workload_end_utc,window,model,decision_date,duration_hours,actual_avg_price_eur_mwh,predicted_avg_price_eur_mwh,previous_day_avg_price_eur_mwh,actual_avg_carbon_intensity_g_co2e_per_kwh,predicted_avg_carbon_intensity_g_co2e_per_kwh,actual_total_emissions_kg_co2e,predicted_total_emissions_kg_co2e,decision_group,predicted_price_rank,predicted_carbon_rank,actual_price_rank,actual_carbon_rank,candidate_count,predicted_price_rank_pct,predicted_carbon_rank_pct,actual_price_rank_pct,actual_carbon_rank_pct,predicted_combined_score,actual_combined_score,predicted_decision_rank,actual_decision_rank,actual_best_combined_score,actual_best_price_eur_mwh,actual_best_carbon_intensity_g_co2e_per_kwh,run_now_price_eur_mwh,run_now_carbon_intensity_g_co2e_per_kwh,combined_regret,cost_regret_eur_mwh,carbon_regret_g_co2e_per_kwh,cost_savings_vs_run_now_eur_mwh,carbon_savings_vs_run_now_g_co2e_per_kwh,is_predicted_best,is_actual_best,is_predicted_top_3,is_actual_top_3,predicted_price_change_vs_previous_day_eur_mwh,actual_price_change_vs_previous_day_eur_mwh,predicted_price_direction_vs_previous_day,actual_price_direction_vs_previous_day,price_direction_correct
2026-02-09 02:00:00+00:00,2026-02-09 03:00:00+00:00,wf_2026_02,lightgbm,2026-02-09,1,53.315,60.88070136041027,64.2675,16.718972463724214,17.090344518988694,551910.0,567174.7000000001,2026-02-09,5,9,3,10,24,0.17391304347826086,0.34782608695652173,0.08695652173913043,0.391304347826087,0.2608695652173913,0.2391304347826087,5,6,0.0,38.9025,14.195149998308926,78.0825,17.56987813460755,0.2391304347826087,14.412499999999994,2.5238224654152877,24.7675,0.8509056708833356,False,False,False,False,-3.3867986395897276,-10.9525,decrease,decrease,1.0
2026-02-09 14:00:00+00:00,2026-02-09 15:00:00+00:00,wf_2026_02,lightgbm,2026-02-09,1,68.0,76.47366221782978,63.6125,14.963115377744844,15.536600373724244,565407.5,589828.7000000001,2026-02-09,10,4,8,6,24,0.391304347826087,0.13043478260869565,0.30434782608695654,0.21739130434782608,0.2608695652173913,0.2608695652173913,6,8,0.0,38.9025,14.195149998308926,78.0825,17.56987813460755,0.2608695652173913,29.097499999999997,0.7679653794359176,10.082499999999996,2.6067627568627056,False,False,False,False,12.861162217829786,4.387500000000003,increase,increase,1.0
2026-02-09 21:00:00+00:00,2026-02-09 22:00:00+00:00,wf_2026_02,lightgbm,2026-02-09,1,67.07,66.11995155641851,95.27,14.690824134260716,17.044392621959837,548632.5,646251.1,2026-02-09,6,8,7,4,24,0.21739130434782608,0.30434782608695654,0.2608695652173913,0.13043478260869565,0.2608695652173913,0.19565217391304346,7,3,0.0,38.9025,14.195149998308926,78.0825,17.56987813460755,0.19565217391304346,28.16749999999999,0.49567413595178955,11.012500000000003,2.8790540003468337,False,False,False,True,-29.150048443581483,-28.200000000000003,decrease,decrease,1.0
2026-02-09 15:00:00+00:00,2026-02-09 16:00:00+00:00,wf_2026_02,lightgbm,2026-02-09,1,65.41,79.156421369466,61.5825,15.61905924148124,16.2349274914652,575945.0,603901.8,2026-02-09,11,6,5,7,24,0.43478260869565216,0.21739130434782608,0.17391304347826086,0.2608695652173913,0.32608695652173914,0.21739130434782608,8,4,0.0,38.9025,14.195149998308926,78.0825,17.56987813460755,0.21739130434782608,26.507499999999993,1.4239092431723144,12.6725,1.9508188931263089,False,False,False,False,17.573921369466,3.8274999999999935,increase,increase,1.0
2026-02-09 01:00:00+00:00,2026-02-09 02:00:00+00:00,wf_2026_02,lightgbm,2026-02-09,1,66.48,72.56439309131049,73.07,16.801735319110872,17.46944266326443,563505.0,581384.1,2026-02-09,7,11,6,11,24,0.2608695652173913,0.43478260869565216,0.21739130434782608,0.43478260869565216,0.34782608695652173,0.32608695652173914,9,10,0.0,38.9025,14.195149998308926,78.0825,17.56987813460755,0.32608695652173914,27.5775,2.606585320801946,11.602499999999992,0.7681428154966774,False,False,False,False,-0.5056069086895008,-6.589999999999989,decrease,decrease,1.0
2026-02-09 04:00:00+00:00,2026-02-09 05:00:00+00:00,wf_2026_02,lightgbm,2026-02-09,1,71.9,60.70980804305015,62.565,17.985709015066522,18.910728937776227,597175.0,629884.8,2026-02-09,4,14,12,15,24,0.13043478260869565,0.5652173913043478,0.4782608695652174,0.6086956521739131,0.34782608695652173,0.5434782608695652,10,15,0.0,38.9025,14.195149998308926,78.0825,17.56987813460755,0.5434782608695652,32.9975,3.790559016757596,6.18249999999999,-0.415830880458973,False,False,False,False,-1.8551919569498452,9.335000000000008,decrease,increase,0.0
2026-02-09 12:00:00+00:00,2026-02-09 13:00:00+00:00,wf_2026_02,lightgbm,2026-02-09,1,68.8175,85.20241977573876,49.1025,14.581173918283715,15.70045398156818,574655.0,625588.2,2026-02-09,14,5,10,2,24,0.5652173913043478,0.17391304347826086,0.391304347826087,0.043478260869565216,0.3695652173913043,0.2173913043478261,11,5,0.0,38.9025,14.195149998308926,78.0825,17.56987813460755,0.2173913043478261,29.914999999999992,0.38602391997478946,9.265,2.9887042163238338,False,False,False,False,36.09991977573876,19.714999999999996,increase,increase,1.0
2026-02-09 00:00:00+00:00,2026-02-09 01:00:00+00:00,wf_2026_02,lightgbm,2026-02-09,1,78.0825,75.7876722948135,86.4675,17.56987813460755,19.158092570776645,592917.5,643828.2,2026-02-09,9,15,13,14,24,0.34782608695652173,0.6086956521739131,0.5217391304347826,0.5652173913043478,0.4782608695652174,0.5434782608695652,12,14,0.0,38.9025,14.195149998308926,78.0825,17.56987813460755,0.5434782608695652,39.17999999999999,3.3747281362986232,0.0,0.0,False,False,False,False,-10.679827705186497,-8.385000000000005,decrease,decrease,1.0
2026-02-09 16:00:00+00:00,2026-02-09 17:00:00+00:00,wf_2026_02,lightgbm,2026-02-09,1,82.8575,79.9679412024026,86.36,16.00037027894347,18.32326731513971,583357.5,672907.7,2026-02-09,12,12,14,8,24,0.4782608695652174,0.4782608695652174,0.5652173913043478,0.30434782608695654,0.4782608695652174,0.43478260869565216,13,12,0.0,38.9025,14.195149998308926,78.0825,17.56987813460755,0.43478260869565216,43.955,1.8052202806345452,-4.775000000000006,1.569507855664078,False,False,False,False,-6.3920587975974,-3.5024999999999977,decrease,decrease,1.0
2026-02-09 11:00:00+00:00,2026-02-09 12:00:00+00:00,wf_2026_02,lightgbm,2026-02-09,1,89.085,85.81354015335712,51.05,16.196855562154223,17.220820143291853,647732.5,685218.5,2026-02-09,15,10,16,9,24,0.6086956521739131,0.391304347826087,0.6521739130434783,0.34782608695652173,0.5,0.5,14,13,0.0,38.9025,14.195149998308926,78.0825,17.56987813460755,0.5,50.18249999999999,2.001705563845297,-11.002499999999998,1.3730225724533263,False,False,False,False,34.76354015335713,38.035,increase,increase,1.0
